City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Wawa,NG,2022-01-27 03:10:51,9.9022,4.4192,70.97,28,0,6.17
277,Faanui,PF,2022-01-27 03:12:28,-16.4833,-151.75,80.98,77,22,17.76
278,Garh Maharaja,PK,2022-01-27 03:12:29,30.8339,71.9053,48.7,40,0,3.42
279,Saint Anthony,US,2022-01-27 03:12:29,45.0205,-93.218,28.31,74,100,5.01
280,Anadyr,RU,2022-01-27 03:12:30,64.75,177.4833,-12.84,97,100,3.2
281,Grand-Santi,GF,2022-01-27 03:12:30,4.25,-54.3833,70.79,99,87,2.17
282,Qaqortoq,GL,2022-01-27 03:12:31,60.7167,-46.0333,23.5,59,97,20.83
283,Sale,MA,2022-01-27 03:12:32,34.0389,-6.8166,56.64,100,100,5.75
284,Juneau,US,2022-01-27 03:12:32,58.3019,-134.4197,37.22,96,100,4.61
285,Surt,LY,2022-01-27 03:12:33,31.2089,16.5887,52.39,60,23,11.63
286,Manado,ID,2022-01-27 03:07:40,1.487,124.8455,88.57,70,40,6.91
287,Nipawin,CA,2022-01-27 03:12:34,53.3668,-104.0009,14.04,79,100,25.32
288,Kaitangata,NZ,2022-01-27 03:12:35,-46.2817,169.8464,57.92,53,45,13.47
289,Lufilufi,WS,2022-01-27 03:12:35,-13.8745,-171.5986,82.18,77,29,13.82
290,Palmas,BR,2022-01-27 03:12:36,-10.2128,-48.3603,71.47,94,100,4.61
291,Panguna,PG,2022-01-27 03:12:37,-6.3164,155.4848,74.61,84,99,1.41
