City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
320,Port Keats,-14.25,129.55,86.16,70,98,10.65,AU,light rain
321,Takaka,-40.85,172.8,69.98,97,100,8.1,NZ,light rain
322,Safonovo,55.15,33.2167,8.2,97,82,6.42,RU,broken clouds
323,Segezha,63.7415,34.3222,-8.39,100,98,1.59,RU,overcast clouds
324,Ipixuna,-1.7625,-48.8043,76.95,98,100,2.24,BR,overcast clouds
325,Sinnamary,5.3833,-52.95,76.26,90,99,10.38,GF,heavy intensity rain
326,Mosjoen,65.836,13.1908,30.2,91,100,10.36,NO,snow
327,Hami,42.8,93.45,25.57,31,12,0.83,CN,few clouds
328,San Vicente,-26.6167,-54.1333,68.4,100,100,2.06,AR,light rain
329,Honiara,-9.4333,159.95,76.91,94,100,8.95,SB,overcast clouds
330,Mbanza-Ngungu,-5.25,14.8667,65.46,98,100,3.2,CD,light rain
331,Pacifica,37.6138,-122.4869,54.59,82,20,1.99,US,mist
332,Jamame,0.0722,42.7506,77.52,82,100,12.24,SO,overcast clouds
333,Aban,56.67,96.06,10.15,91,100,7.58,RU,overcast clouds
334,Saint-Joseph,-21.3667,55.6167,79.16,88,100,27.47,RE,moderate rain
335,Parrita,9.5201,-84.3225,80.98,79,0,2.42,CR,clear sky
336,Faya,18.3851,42.4509,51.91,52,5,3.06,SA,clear sky
337,Maroantsetra,-15.4333,49.7333,77.27,86,100,6.76,MG,overcast clouds
338,Kieta,-6.2167,155.6333,81.41,79,100,7.4,PG,overcast clouds
339,Balkhash,46.844,74.9804,3.81,72,0,15.66,KZ,clear sky
340,Kabwe,-14.4469,28.4464,63.37,98,100,5.39,ZM,overcast clouds
341,Dire,12.2833,-10.9667,69.78,17,0,2.57,ML,clear sky
342,Aswan,24.0934,32.907,52.3,39,0,9.06,EG,clear sky
343,Achikulak,44.5517,44.8378,35.55,89,100,4.45,RU,light rain
344,Boca Do Acre,-8.7522,-67.3978,72.7,97,48,2.3,BR,scattered clouds
